,City Name,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
412,San Roque,6.49,-75.02,62.6,82,75,2.24,1565582742
413,Qandala,11.47,49.87,87.82,47,67,22.86,1565582742
414,Stockelsdorf,53.9,10.64,60.01,77,0,6.93,1565582743
415,Phan Thiet,10.93,108.1,85.84,67,90,8.95,1565582743
416,Christchurch,-43.53,172.64,54,71,0,5.82,1565582743
417,Hovd,63.83,10.7,60.01,93,75,10.29,1565582744
418,Mangaratiba,-22.96,-44.04,69.8,94,75,1.03,1565582744
419,Anadyr,64.73,177.51,51.8,93,90,15.66,1565582745
420,Puerto Penasco,31.32,-113.53,84.99,71,68,5.01,1565582745
421,Yerofey Pavlovich,53.97,121.97,77.55,40,32,7.02,1565582745
422,Alofi,-19.06,-169.92,80.6,74,0,12.75,1565582746
423,Polonnaruwa,7.94,81,87.27,53,51,17.45,1565582746
424,Carmo Do Rio Claro,-20.97,-46.12,62.97,59,0,5.37,1565582746
425,Kilinochchi,9.4,80.4,82.05,81,74,12.39,1565582747
426,Avera,33.19,-82.53,81,94,1,5.14,1565582747
427,Narsaq,60.91,-46.05,55.4,32,0,16.11,1565582747
428,Ngemplak,-7.64,109.98,86.37,47,44,3.18,1565582748
429,Seoul,37.57,126.98,82.4,83,90,3.36,1565582682
430,Obo,5.39,26.49,68.2,97,100,1.99,1565582748
431,Adjumani,3.38,31.79,65.85,95,91,1.05,1565582749
432,Sandeid,59.54,5.86,59,100,75,3.36,1565582749
433,Kasempa,-13.46,25.83,53.44,66,0,5.93,1565582750
434,Nuevo Progreso,26.05,-97.95,86,70,40,20.8,1565582750
435,Black River,18.03,-77.85,82.4,74,20,2.24,1565582750
436,Dovers,12.88,-61.18,83.14,77,0,15.73,1565582751
437,Fort Nelson,58.81,-122.69,68,49,40,3.06,1565582751
438,Teacapan,22.54,-105.74,86.2,67,100,1.79,1565582751
439,Gouyave,12.16,-61.73,82.4,78,40,11.41,1565582752
440,Martapura,-3.41,114.85,90.52,55,0,0.94,1565582752
441,Rosehearty,57.7,-2.11,52,87,75,6.93,1565582752
442,Tunceli,39.11,39.55,66.2,42,0,4.83,1565582753
443,Mersing,2.43,103.84,87.27,61,94,5.95,1565582753
444,Lamont,53.76,-112.78,57.2,76,90,3.36,1565582753
445,Manokwari,-0.87,134.08,80.07,75,100,5.55,1565582753
446,Nouadhibou,20.93,-17.03,69.8,83,0,20.8,1565582754
447,Zhigansk,66.77,123.37,77.02,29,0,5.08,1565582754
448,Sibolga,1.74,98.78,81.52,78,100,7.99,1565582746
449,Ode,8.45,4.32,70.35,96,63,8.37,1565582754
450,Kaputa,-8.47,29.66,59.2,57,0,4.05,1565582755
451,Moindou,-21.69,165.68,71.6,68,100,2.24,1565582755
452,Kalpi,26.12,79.75,87.82,64,83,9.69,1565582755
453,Llandrindod Wells,52.24,-3.38,54,92,1,4,1565582756
454,Riyadh,24.63,46.72,78.8,29,0,2.24,1565582601
455,Matao,-21.6,-48.37,71.07,46,0,7.96,1565582494
456,Guerrero Negro,27.97,-114.04,65.32,89,0,19.04,1565582756
457,Bereda,43.27,-7.54,57.99,100,40,4.7,1565582757
458,Tual,-5.67,132.75,76.84,82,42,22.08,1565582757
459,Chapais,49.78,-74.86,55.4,76,1,4.7,1565582758
460,Duldurga,50.67,113.59,60.64,90,100,5.66,1565582758
461,Luganville,-15.51,167.18,84.2,74,40,11.41,1565582759
462,Payo,-3.75,103.64,80.97,53,31,4.25,1565582759
463,Southbridge,42.08,-72.03,66,87,1,2.33,1565582759
464,Wilmington,39.75,-75.55,70,77,1,3.36,1565582760
465,Ust-Kuyga,70,135.55,76.65,36,0,14.41,1565582760
466,El Arenal,20.78,-103.69,66.99,82,75,4.34,1565582760
467,Salekhard,66.54,66.62,44.8,94,100,20.13,1565582761
468,Ambanja,-13.68,48.45,73.95,67,44,10.07,1565582761
469,Kununurra,-15.77,128.74,82.4,12,28,12.75,1565582761
470,Bad Kissingen,50.2,10.08,60.01,90,66,3,1565582762
471,Pirae,-17.52,-149.53,82.4,69,20,6.93,1565582762
472,Morant Bay,17.88,-76.41,84.2,62,20,14.99,1565582762
473,Terra Rica,-22.73,-52.62,73.05,47,0,8.52,1565582763
474,Dong Hoi,17.48,106.6,86.92,62,64,9.53,1565582763
475,Birao,10.3,22.78,70.35,97,97,7.34,1565582763
476,Kholodnyy,62.72,147.95,61.17,56,53,10.09,1565582764
477,Sambava,-14.27,50.17,61.54,74,21,4.03,1565582764
478,Alice Springs,-23.7,133.88,60.8,38,0,12.75,1565582765
479,Hambantota,6.12,81.12,87.8,70,20,14.99,1565582765
480,Taltal,-25.41,-70.49,53.25,60,0,3.33,1565582765
481,Kokorevka,52.59,34.27,55.4,93,40,2.24,1565582765
482,Santiago,16.69,121.54,90.34,55,97,2.37,1565582677
483,Hauterive,49.18,-68.27,61,87,1,4.7,1565582766
484,Ericeira,38.96,-9.42,64,87,20,9.17,1565582766
485,Kangaatsiaq,68.31,-53.46,44.07,69,88,17.07,1565582766
486,Tres Picos,16.23,-93.58,70.9,94,100,3.02,1565582767
487,Talnakh,69.49,88.39,53.6,100,90,8.95,1565582767
488,Zuwarah,32.93,12.08,75.94,79,0,5.5,1565582767
489,Totness,33.74,-80.8,82.4,94,1,8.19,1565582768
490,Sirsi,14.62,74.84,77.02,89,96,5.59,1565582768
491,Caraballeda,10.61,-66.85,82.4,74,20,4.7,1565582768
492,Miquelon,47.1,-56.38,61.72,88,0,14.34,1565582769
493,Beloha,-25.17,45.06,65.67,68,0,8.01,1565582769
494,Erzin,36.95,36.2,79,100,20,3.36,1565582769
495,Klyuchi,52.25,79.17,76.12,34,0,9.51,1565582769
496,Tsabong,-26.02,22.4,48.75,12,0,10.54,1565582770
497,Lakhdenpokhya,61.52,30.2,57.99,85,91,9.04,1565582770
498,Cap Malheureux,-19.98,57.61,73,94,75,10.29,1565582771
499,Tiznit,29.7,-9.73,67.84,82,0,9.42,1565582771
500,Santo Antonio,-4.7,-40.67,73.05,50,0,7.05,1565582771
501,Matamoros,25.87,-97.51,86,89,1,11.41,1565582709
502,Puerto Madryn,-42.77,-65.04,37.95,73,71,13.69,1565582773
503,Mendi,9.8,35.1,61,96,100,3.76,1565582773
504,Wamba,2.14,27.99,66.22,99,100,1.12,1565582773
505,Songjianghe,42.18,127.48,70,89,100,4.05,1565582774
506,Mao,19.55,-71.08,81,88,20,9.17,1565582774
507,Kazerun,29.62,51.65,85.12,11,0,4.74,1565582774
508,Elizabeth City,36.3,-76.22,77,100,1,4.07,1565582775
509,Andros Town,24.73,-77.79,82.4,83,40,5.82,1565582775
510,Kawalu,-7.38,108.21,73.05,70,98,6.15,1565582775
511,Kruisfontein,-34,24.73,48.04,68,0,12.35,1565582776
512,Itoman,26.12,127.67,91.4,74,20,9.17,1565582776
513,Lukovetskiy,64.29,41.92,39.2,93,0,2.24,1565582776
514,Luanda,-8.83,13.24,68,94,75,3.36,1565582697
515,Thaba Nchu,-29.2,26.83,33.8,23,0,2.24,1565582777
516,Vrangel,42.73,133.08,61.17,99,100,0.47,1565582777
517,Galbshtadt,53.23,78.98,72.7,40,48,9.26,1565582777
518,Shedok,44.22,40.85,57.94,65,0,2.37,1565582778
519,Keroka,-0.78,34.95,59.92,73,82,4.16,1565582778
520,Namatanai,-3.66,152.44,81.52,74,0,7.61,1565582778
521,Konotop,51.24,33.21,57.75,91,14,1.48,1565582778
522,Porto Murtinho,-21.7,-57.88,71.8,42,0,4.94,1565582779
523,Namibe,-15.19,12.15,62.97,83,3,5.37,1565582779
524,San Blas,21.54,-105.29,68,100,40,0.96,1565582779
525,Yulara,-25.24,130.99,64.4,36,0,10.29,1565582779
526,Rancho Palos Verdes,33.75,-118.37,73.4,77,1,6.93,1565582593
527,Jutai,-1.71,-47.89,74.67,89,0,4.07,1565582780
528,Hirara,24.8,125.28,87.8,79,40,10.29,1565582780
529,Karaton,-6.34,106.1,87.8,52,40,11.41,1565582781
530,Bima,-8.45,118.73,89.8,41,10,5.53,1565582781
531,Kieta,-6.22,155.63,82.42,72,73,6.42,1565582781
532,Taree,-31.91,152.46,63,47,90,11.41,1565582782
533,Sovetskiy,56.76,48.47,43.17,87,1,13.49,1565582596
